date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:05	73/73	---M--	200	added ('OK')	text/plain	etag:W/%2249-176f63bf0cf%22	https://fleava.com/robots.txt		(from )
21:34:05	38740/38740	---MCZ	200	added ('OK')	text/html	etag:W/%229754-v+cd0hkfnVlvPK9w8F87wqvHUl4%22	https://fleava.com/	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/index.html	(from )
21:34:05	2362/2362	---M--	200	added ('OK')	image/png	etag:W/%2293a-172ea275407%22	https://fleava.com/assets/img/icons/apple-icon-57x57.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-57x57.png	(from https://fleava.com/)
21:34:05	2400/2400	---M--	200	added ('OK')	image/png	etag:W/%22960-172ea27540b%22	https://fleava.com/assets/img/icons/apple-icon-60x60.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-60x60.png	(from https://fleava.com/)
21:34:06	2439/2439	---M--	200	added ('OK')	image/png	etag:W/%22987-172ea27540b%22	https://fleava.com/assets/img/icons/apple-icon-72x72.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-72x72.png	(from https://fleava.com/)
21:34:06	2679/2679	---M--	200	added ('OK')	image/png	etag:W/%22a77-172ea27540b%22	https://fleava.com/assets/img/icons/apple-icon-76x76.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-76x76.png	(from https://fleava.com/)
21:34:06	3929/3929	---M--	200	added ('OK')	image/png	etag:W/%22f59-172ea275407%22	https://fleava.com/assets/img/icons/apple-icon-114x114.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-114x114.png	(from https://fleava.com/)
21:34:06	4096/4096	---M--	200	added ('OK')	image/png	etag:W/%221000-172ea275407%22	https://fleava.com/assets/img/icons/apple-icon-120x120.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-120x120.png	(from https://fleava.com/)
21:34:07	4933/4933	---M--	200	added ('OK')	image/png	etag:W/%221345-172ea275407%22	https://fleava.com/assets/img/icons/apple-icon-144x144.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-144x144.png	(from https://fleava.com/)
21:34:07	5296/5296	---M--	200	added ('OK')	image/png	etag:W/%2214b0-172ea275407%22	https://fleava.com/assets/img/icons/apple-icon-152x152.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-152x152.png	(from https://fleava.com/)
21:34:07	6437/6437	---M--	200	added ('OK')	image/png	etag:W/%221925-172ea275407%22	https://fleava.com/assets/img/icons/apple-icon-180x180.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/apple-icon-180x180.png	(from https://fleava.com/)
21:34:08	5778/5778	---M--	200	added ('OK')	image/png	etag:W/%221692-172ea275407%22	https://fleava.com/assets/img/icons/android-icon-192x192.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/android-icon-192x192.png	(from https://fleava.com/)
21:34:08	1650/1650	---M--	200	added ('OK')	image/png	etag:W/%22672-172ea27540b%22	https://fleava.com/assets/img/icons/favicon-32x32.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/favicon-32x32.png	(from https://fleava.com/)
21:34:08	3319/3319	---M--	200	added ('OK')	image/png	etag:W/%22cf7-172ea27540b%22	https://fleava.com/assets/img/icons/favicon-96x96.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/favicon-96x96.png	(from https://fleava.com/)
21:34:08	1152/1152	---M--	200	added ('OK')	image/png	etag:W/%22480-172ea27540b%22	https://fleava.com/assets/img/icons/favicon-16x16.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/favicon-16x16.png	(from https://fleava.com/)
21:34:09	720/720	---M--	200	added ('OK')	application/json	etag:W/%222d0-172ea27540b%22	https://fleava.com/assets/img/icons/manifest.json	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/manifest.json	(from https://fleava.com/)
21:34:09	4933/4933	---M--	200	added ('OK')	image/png	etag:W/%221345-172ea27540b%22	https://fleava.com/assets/img/icons/ms-icon-144x144.png	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/icons/ms-icon-144x144.png	(from https://fleava.com/)
21:34:10	140773/140773	---M--	200	added ('OK')	image/jpeg	etag:W/%22225e5-1821b86f922%22	https://fleava.com/assets/img/general/og/fleava.jpg	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/general/og/fleava.jpg	(from https://fleava.com/)
21:34:10	90636/90636	---MCZ	200	added ('OK')	text/css	etag:W/%221620c-176e30a7be3%22	https://fleava.com/assets/css/app.css	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/css/app.css	(from https://fleava.com/)
21:34:11	2216/2216	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228a8-181ffa7192e%22	https://fleava.com/assets/img/general/fleava.svg	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/img/general/fleava.svg	(from https://fleava.com/)
21:34:12	40841/40841	---M--	200	added ('OK')	font/woff2	etag:W/%229f89-17304e2616f%22	https://fleava.com/assets/fonts/Graphik-Semibold-Web.woff2	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/fonts/Graphik-Semibold-Web.woff2	(from https://fleava.com/)
21:34:12	841955/841955	---MCZ	200	added ('OK')	application/javascript	etag:W/%22cd8e3-182d87aee92%22	https://fleava.com/assets/js/scripts.js	C:/Users/achar/OneDrive/Documents/GitHub/www.mightycrayon.org/Mighty%20Crayon/fleava.com/assets/js/scripts.js	(from https://fleava.com/)
